address,share,tag,additional_data
0x96e4e2ebbeff1f45bfb678695628fa7a0398de1c,0.003484320557,sdvt,{}
0x973f8bb0b68e6c240aa47f3e634cdd6404d468a6,0.003484320557,sdvt,{}
0x97403a22ec3d9d5ef1939f8316e3b9ced35ddca1,0.003484320557,sdvt,{}
0x97435db5c546c83268cb57f2932e5fa343530e11,0.003484320557,sdvt,{}
0x97a171f653fe35a296820d6ecbda8363efde8b54,0.003484320557,sdvt,{}
0x97de5243906035a503f2f1c52513a3e2d5080da5,0.003484320557,sdvt,{}
0x9a2b02de5bc65ca76ee899b89c400d5d27f50001,0.003484320557,sdvt,{}
0x9a415abd31c606abd8859b90dcda498a6d931cdc,0.006968641115,sdvt,{}
0x9c09926927201527812364cf97aa9bb962a638b5,0.003484320557,sdvt,{}
0x9d412ef6bfc03c816c780bad7ce3654281ede184,0.003484320557,sdvt,{}
0x9dff7476d17c43fc7b33d4ff7637a9b63dc228cb,0.003484320557,sdvt,{}
0x9e263a4434466b21e6a4e90efcc2374a0ce9581f,0.003484320557,sdvt,{}
0x9e418f5a21a7ebefb66190bfcbdd42216ea4a6a7,0.003484320557,sdvt,{}
0x9f2bb4f166d77e4f72ce291a3a2654bc014d2a6c,0.003484320557,sdvt,{}
0x9f6b7f6a018955ae8a98c4f0e6d45f2b3c1d70c4,0.003484320557,sdvt,{}
0xa0181758b14efb2dadfec66d58251ae631e2b942,0.003484320557,sdvt,{}
0xa49224407bfbcfced35d70657f44041b8e162ef9,0.003484320557,sdvt,{}
0xa4cd26a567908aac033b3d8a61e8f0fde844d384,0.003484320557,sdvt,{}
0xa5c6418d1bb26fe336cf5ee32dc203f5c249ce99,0.003484320557,sdvt,{}
0xa5f3e907ca439d7732e7a6b9ba20610990b65e8c,0.003484320557,sdvt,{}
0xa7a23c9d8b3c6f471d554749ec1173839cdde4b6,0.003484320557,sdvt,{}
0xa9a06d77d55a7a72b59454508e7e88a4f0785053,0.003484320557,sdvt,{}
0xab402d5f93fdf5ec1ade26e9c295a04ddc522a06,0.003484320557,sdvt,{}
0xab420847576faca8f228a274d5e1e07d2ae98ac4,0.003484320557,sdvt,{}
0xabff1e9cfa87ee14fee544c64957392852d9113d,0.003484320557,sdvt,{}
0xac162fe3a19fdc96eed6da35d6f7fda3902f4b8c,0.003484320557,sdvt,{}
0xac2bdb872655572f616879eb32e5fb81f336974c,0.003484320557,sdvt,{}
0xad362d21bf2b8b905342e55e1ae7b5251a06a57f,0.003484320557,sdvt,{}
